original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,confidence_city_level,state_code,country,confidence_street_level,country_code,confidence,attribution,attribution_license,attribution_url
Stade Pierre-Mauroy,50.61190435,3.1305079515303946,"Decathlon Arena-Stade Pierre-Mauroy, Boulevard de Tournai, 59491 Villeneuve-d'Ascq, France",Decathlon Arena-Stade Pierre-Mauroy,,Boulevard de Tournai,59491,,Hôtel-de-Ville,Villeneuve-d'Ascq,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Place Rihour,50.6358368,3.0628173,"Place Rihour, 59800 Lille, France",Place Rihour,,Place Rihour,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,1,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Les Moulins de Lille,50.6217721,3.0736197,"Les Halles de Moulin, Rue Jean Jaurès, 59024 Lille, France",Les Halles de Moulin,,Rue Jean Jaurès,59024,Lille,Lille-Moulins,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
École Nationale Supérieure des Arts et Industries Textiles (ENSAIT),50.6945221,3.168123085492458,"École Nationale Supérieure des Arts et Industries Textiles - ENSAIT, 2 Allée Louise et Victor Champier, 59100 Roubaix, France",École Nationale Supérieure des Arts et Industries Textiles - ENSAIT,2,Allée Louise et Victor Champier,59100,,Centre-Ville,Roubaix,Nord,Hauts-de-France,0.14432727272727272,HDF,France,0.03608181818181818,fr,0.04858322574626866,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Complexe UGC Ciné Cité Lille,48.859077,2.327998,"Rue de Lille Caisse des Depôts, 56 Rue de Lille, 75007 Paris, France",Rue de Lille Caisse des Depôts,56,Rue de Lille,75007,Paris,Saint-Thomas d'Aquin,Paris,Paris,Île-De-France,,IDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lille Neige,48.1522784,-1.6601083,"L'Ille, BRE, France",L'Ille,,,,,,,,Bretagne,,BRE,France,,fr,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L’Herbe Folle,45.6600698,4.5601646,"L'Herbe Folle, 6 Place de l'Église, 69850 Saint-Martin-en-Haut, France",L'Herbe Folle,6,Place de l'Église,69850,Rampeaux,,Saint-Martin-en-Haut,Rhône,Auvergne-Rhône-Alpes,,ARA,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hospice Gantois,50.621933,3.060429,"Gantois, 59046 Lille, France",Gantois,,,59046,Lille,,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Les 3 Brasseurs,43.289482449999994,5.4819054472259285,"Les 3 Brasseurs, Montée Commandant de Robien, 13011 Marseille, France",Les 3 Brasseurs,,Montée Commandant de Robien,13011,,11e Arrondissement,Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,,PAC,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quai de Wault,50.6372718,3.0538519,"Le Bouchon du Quai du Wault, Quai du Wault, 59800 Lille, France",Le Bouchon du Quai du Wault,,Quai du Wault,59800,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Esplanade du Champ de Mars,44.9291322,4.888020398505844,"Esplanade du Champ de Mars, 26000 Valence, France",Esplanade du Champ de Mars,,Esplanade du Champ de Mars,26000,,,Valence,Drôme,Auvergne-Rhône-Alpes,,ARA,France,1,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rue de Béthune,50.5417758,2.7208785,"Rue de Béthune, 62660 Beuvry, France",Rue de Béthune,,Rue de Béthune,62660,,,Beuvry,Pas-de-Calais,Hauts-de-France,,HDF,France,1,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Les Poussins du Jardin Vauban,48.147878,6.926878,"Rue du Jardin, 88430 Gerbépal, France",,,Rue du Jardin,88430,Gerbépal,,Gerbépal,Vosges,Grand Est,,GES,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Collégiale Saint-Pierre,49.42381485,1.7182027620803,"Collégiale Saint-Pierre, Rue Jules Ferry, 76220 Neuf-Marché, France",Collégiale Saint-Pierre,,Rue Jules Ferry,76220,,,Neuf-Marché,Seine-Maritime,Normandie,,NOR,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Musée d'Art Sacré Moderne,44.97585465,6.507520369014442,"Musée d'art sacré, Rue de l'École, 05220 Le Monêtier-les-Bains, France",Musée d'art sacré,,Rue de l'École,05220,,,Le Monêtier-les-Bains,Hautes-Alpes,Provence-Alpes-Côte d'Azur,,PAC,France,,fr,0.6,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Flow - Centre Eurorégional des Cultures Urbaines,47.84146,-1.794739,"Rue le Deron Centre, 35480 St.-Malo-de-Phily, France",,,Rue le Deron Centre,35480,Saint-Malo-de-Phily,,St.-Malo-de-Phily,Ille-et-Vilaine,Bretagne,0.1171875,BRE,France,0.094921875,fr,0.41294117647058826,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Palais Rameau,50.63429815,3.049949637926539,"Palais Rameau, Rue Patou, 59800 Lille, France",Palais Rameau,,Rue Patou,59800,Lille,Lille-Centre,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Grand Bleu,43.4012506,3.6967902,"Le Grand Bleu, Quai du Général Durand, 34200 Sète, France",Le Grand Bleu,,Quai du Général Durand,34200,,,Sète,Hérault,Occitanie,,OCC,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Grand Place,-21.0414474,55.412164,"97419 Grand-Place (La Possession), France",Grand-Place,,,97419,,,La Possession,,La Réunion,1,RE,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Nouveau Siècle,48.8973573,2.3291166,"Le Nouveau Siècle, Avenue de Saint-Ouen, 75018 Paris, France",Le Nouveau Siècle,,Avenue de Saint-Ouen,75018,Paris,Paris 18e Arrondissement,Paris,,Île-de-France,,IDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc du Héron,50.63431575,3.14839573989948,"Parc du Héron, 59491 Villeneuve-d'Ascq, France",Parc du Héron,,,59491,,Saint-Sauveur,Villeneuve-d'Ascq,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc Urbain d'EuraTechnologies,48.967386,2.288769,"Parc Urbain, 95210 Saint-Gratien, France",,,Parc Urbain,95210,Saint-Gratien,,Saint-Gratien,Val-d'Oise,Île-De-France,,IDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Prieuré de Loos,50.602032,3.03882,"Le Sémaphore, 59120 Loos, France",Le Sémaphore,,,59120,Loos,,Loos,Nord,Hauts-de-France,,HDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Théâtre du Nord,50.6804416,3.136982280319149,"Le Théâtre, 59 Rue Jean Jaurès, 59290 Wasquehal, France",Le Théâtre,59,Rue Jean Jaurès,59290,,Le Capreau,Wasquehal,Nord,Hauts-de-France,,HDF,France,,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Palais de Justice,48.8035602,2.1319704,"Le Palais de Justice, 2 Rue Georges Clemenceau, 78000 Versailles, France",Le Palais de Justice,2,Rue Georges Clemenceau,78000,,Notre-Dame,Versailles,Yvelines,Île-de-France,,IDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Université Lille 1,50.632166,3.046115,"Université Catholique, 59000 Lille, France",Université Catholique,,,59000,Lille,,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quartier Bois Blancs,50.6309445,3.0229743,"Mairie de quartier Bois-Blancs, Allée Helen Keller, 59373 Lille, France",Mairie de quartier Bois-Blancs,,Allée Helen Keller,59373,Lille,Bois Blancs,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chapelle Saint-Joseph,43.8623795,6.814301878552974,"Chapelle Saint-Joseph, Rue Célestin Freinet, 06850 Gars, France",Chapelle Saint-Joseph,,Rue Célestin Freinet,06850,,,Gars,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,,PAC,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hôtel Bellevue,48.39041585,-4.478255294849722,"Hôtel Bellevue, Rue Victor Hugo, 29200 Brest, France",Hôtel Bellevue,,Rue Victor Hugo,29200,,Saint-Martin,Brest,Finistère,Bretagne,,BRE,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L’Aéronef,50.6368129,3.0737383,"L'Aéronef, Avenue Willy Brandt, 59777 Lille, France",L'Aéronef,,Avenue Willy Brandt,59777,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Fresnoy - Studio national des arts contemporains,50.7000523,3.1546769,"Le Fresnoy - Studio national des arts contemporains, 22 Rue du Fresnoy, 59200 Tourcoing, France",Le Fresnoy - Studio national des arts contemporains,22,Rue du Fresnoy,59200,,Plaine Images,Tourcoing,Nord,Hauts-de-France,0.1750329,HDF,France,0.15752961,fr,0.4142435294117648,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Conservatoire de Lille,50.64223,3.06228,"Conservatoire de Lille, Lille, Nord, France",Conservatoire de Lille,,,,Lille,,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.9,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Le Jardin des Géants,50.642903,3.074832131409481,"Jardin des Géants, 59110 La Madeleine, France",Jardin des Géants,,,59110,Lille,Saint-Maurice Pellevoisin,La Madeleine,Nord,Hauts-de-France,,HDF,France,,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Villa Cavrois,50.666695849999996,3.1640135032540306,"Villa Cavrois, 60 Avenue John Fitzgerald Kennedy, 59170 Croix, France",Villa Cavrois,60,Avenue John Fitzgerald Kennedy,59170,,,Croix,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Institut d'Études Politiques de Lille (Sciences Po Lille),50.628256,3.066108,"Institut d'études politiques (Sciences Po Lille), 59046 Lille, France",Institut d'études politiques (Sciences Po Lille),,,59046,Lille,,Lille,Nord,Hauts-de-France,1,HDF,France,,fr,0.81225,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quartier Saint-Sauveur,50.63233875,3.069602712537998,"Quartier Saint-Sauveur, Lille-Centre, Lille, Nord, France",Quartier Saint-Sauveur,,,,Lille,Lille-Centre,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Palais Rihour,50.635523500000005,3.0619809639312434,"Palais Rihour, Place Rihour, 59800 Lille, France",Palais Rihour,,Place Rihour,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Musée des Canonniers,50.6408753,3.0693702,"Musée des canonniers sédentaires de Lille, 44 Rue des Canonniers, 59000 Lille, France",Musée des canonniers sédentaires de Lille,44,Rue des Canonniers,59000,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.5103000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc Naturel Urbain de Lomme,50.6559883,2.983670461876879,"Parc Naturel Urbain de Lomme, 59160 Lille, France",Parc Naturel Urbain de Lomme,,,59160,,,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Musée de la Piscine,43.715754,-0.833769,"480 Le Musée de la Chalosse, 40380 Montfort-en-Chalosse, France",,480,Le Musée de la Chalosse,40380,Montfort-en-Chalosse,,Montfort-en-Chalosse,Landes,Nouvelle-Aquitaine,,NAQ,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ferme pédagogique Marcel Dhénin,50.63745595,3.0800493243065534,"La ferme pédagogique Marcel Dhénin, Fives, Lille, Nord, France",La ferme pédagogique Marcel Dhénin,,,,Lille,Fives,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marché de la Place du Concert,50.641896,3.061756,"Place du Concert, 59043 Lille, France",Place du Concert,,,59043,Lille,,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Faubourg des Modes,48.826369,2.130397,"Le Chesnay (Le Chesnay), IDF, France",,,,,Le Chesnay,,Le Chesnay,Yvelines,Île-De-France,0.14285714285714285,IDF,France,,fr,0.14285714285714285,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Fives Cail,50.6260312,3.0945462121997744,"ZAC ""Fives Cail"" - Phase 2, Fives, Lille, Nord, France","ZAC ""Fives Cail"" - Phase 2",,,,Lille,Fives,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Atelier 2 - Centre d'art contemporain,48.722294,-3.969517,"2 Atelier Relais Du Bloscon, 29680 Roscoff, France",,2,Atelier Relais Du Bloscon,29680,Roscoff,,Roscoff,Finistère,Bretagne,,BRE,France,0.7290000000000001,fr,0.7092972972972974,© OpenAddresses contributors,BSD-3-Clause License,
Le Musée du Jouet,46.4324457,5.7269691,"Musée du Jouet, 5 Rue du Murgin, 39260 Moirans-en-Montagne, France",Musée du Jouet,5,Rue du Murgin,39260,,,Moirans-en-Montagne,Jura,Bourgogne-Franche-Comté,,BFC,France,,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Grand Sud,50.48024395,1.5887643876874185,"Le Grand Sud, 62780 Cucq, France",Le Grand Sud,,,62780,,,Cucq,Pas-de-Calais,Hauts-de-France,1,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Parc Jean-Baptiste Lebas,51.006176,2.310867,"Rue Jean-Baptiste Lebas, 59760 Grande-Synthe, France",,,Rue Jean-Baptiste Lebas,59760,Grande-Synthe,,Grande-Synthe,Nord,Hauts-de-France,,HDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chapelle des Carmes de Lille,50.645042,3.054054,"Couvent des Carmes de Lille, 59043 Lille, France",Couvent des Carmes de Lille,,,59043,Lille,,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Marché de la Place Sébastopol,47.057714,-1.496841,"Place de la Marche, 44140 Montbert, France",,,Place de la Marche,44140,Montbert,,Montbert,Loire-Atlantique,Pays de la Loire,,PDL,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Café Citoyen,43.5258559,5.454731,"Le 3C - Café Culturel Citoyen, 23 Contre-Allée Carnot, 13100 Aix-en-Provence, France",Le 3C - Café Culturel Citoyen,23,Contre-Allée Carnot,13100,,Cuques,Aix-en-Provence,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,,PAC,France,,fr,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Musée Hospitalier Régional de Lille,46.159575,4.171281,"Musée de la Soierie & Musée Hospitalier, 42190 Charlieu, France",Musée de la Soierie & Musée Hospitalier,,,42190,Charlieu,,Charlieu,Loire,Auvergne-Rhône-Alpes,,ARA,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Fort de Seclin,50.556107,3.053733,"Fort de Seclin, Chemin du fort, 59113 Seclin, France",Fort de Seclin,,Chemin du fort,59113,Seclin,,Seclin,Nord,Hauts-de-France,,HDF,France,,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Collège de Marcq-en-Barœul,50.6840009,3.1053892,"Rue du Collège, 59700 Marcq-en-Barœul, France",Rue du Collège,,Rue du Collège,59700,,Parc Europe,Marcq-en-Barœul,Nord,Hauts-de-France,,HDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Parc des Dondaines,50.271027,3.478442,"Rue des Dondaines, 59227 Verchain-Maugré, France",,,Rue des Dondaines,59227,Verchain-Maugré,,Verchain-Maugré,Nord,Hauts-de-France,,HDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright