name,description,latitude,longitude
Palais des Beaux-Arts de Lille,Un des plus grands musées de France avec une collection exceptionnelle de peintures européennes.,50.630458149999995,3.0628110944444478
La Vieille Bourse,"Un bâtiment historique de style flamand datant du XVIIe siècle, au cœur de Lille.",50.6370472,3.064016968207108
Cathédrale Notre-Dame-de-la-Treille,"Cathédrale moderne et néo-gothique, située dans le Vieux-Lille.",50.6401791,3.062811785213672
Zoo de Lille,Un zoo gratuit dans le quartier du Vieux-Lille avec une grande variété d'animaux.,50.6382274,3.047748
Parc de la Citadelle,"Un parc urbain avec des sentiers et des espaces verts, entourant la Citadelle de Lille.",50.6420898,3.0482218317792293
Place Charles de Gaulle,"La place principale de Lille, entourée de bâtiments historiques et de cafés.",50.47706565,3.0555194925119555
Musée d'Histoire Naturelle,"Un musée présentant des expositions sur l'histoire naturelle, incluant des fossiles et des animaux naturalisés.",50.6266587,3.06701952992126
Église Saint-Maurice,"Une église gothique dans le centre de Lille, datant du XIVe siècle.",50.635879,3.0675010887495997
Musée de l'Hospice Comtesse,"Un musée installé dans un ancien hôpital du XIIIe siècle, avec des collections d'art et d'objets historiques.",50.6411688,3.0632054
La Citadelle de Lille,"Une forteresse militaire construite par Vauban au XVIIe siècle, un exemple classique de fortification.",50.701934,3.1322799944444437
Maison natale de Charles de Gaulle,"Le lieu de naissance du Général de Gaulle, transformé en musée.",50.645844749999995,3.0586700703815612
Opéra de Lille,Un magnifique opéra néo-classique situé près de la Grand Place de Lille.,50.63771955,3.065317447354925
Quartier du Vieux-Lille,"Le quartier historique de Lille, célèbre pour ses rues pavées et ses boutiques.",50.644779299999996,3.052581029565949
Maison Coilliot,"Un édifice art nouveau conçu par Hector Guimard, emblématique de l'architecture de l'époque.",50.6269801,3.0601164
Théâtre Sébastopol,"Un théâtre datant de 1903, accueillant des spectacles et des concerts dans un cadre élégant.",50.6291036,3.0583894
Parc Jean-Baptiste Lebas,"Un espace vert central avec des sculptures et un grand terrain de jeux, idéal pour les familles.",50.6266584,3.069021998028962
Porte de Paris,Un arc de triomphe du XVIIe siècle célébrant la victoire de Louis XIV à Lille.,50.6296582,3.0688015
Beffroi de l'Hôtel de Ville,"Un beffroi classé au patrimoine mondial de l'UNESCO, offrant une vue panoramique sur la ville.",50.63073,3.06979
Maison Folie Wazemmes,Un centre culturel dynamique installé dans une ancienne brasserie.,50.6246519,3.0490162
Gare Saint-Sauveur,Un ancien dépôt ferroviaire transformé en espace d'expositions artistiques et de loisirs.,50.6271914,3.0724595821149396
Musée de l'Institut Pasteur,Un musée dédié à Louis Pasteur et aux avancées scientifiques de son époque.,50.6286689,3.0743084
Université Catholique de Lille,"Fondée en 1875, elle est un important établissement d'enseignement supérieur en France.",50.632877,3.046541
Square Dutilleul,Un petit square au centre-ville offrant un espace tranquille pour se détendre.,50.6363647,3.0554016
Lille Grand Palais,Un centre de congrès moderne accueillant des événements professionnels et des spectacles.,50.632538,3.0781436362934373
Le Tripostal,Un espace d'expositions contemporain aménagé dans un ancien centre postal.,50.6366637,3.0728035
"Lille Métropole Musée d'art moderne, d'art contemporain et d'art brut (LaM)","Un musée majeur de la région, avec une collection d'art moderne, contemporain et d'art brut.",50.637462,3.150363
Furet du Nord,"La plus grande librairie de France, située sur la Grand'Place.",50.636649,3.0629632
Hôtel Carlton,"Un hôtel historique au cœur de Lille, célèbre pour son architecture élégante.",50.6367618,3.0653555
Marché de Wazemmes,"Un marché coloré et animé, où l'on trouve des produits locaux et internationaux.",50.6260738,3.0497445
Les Halles de Wazemmes,Un grand marché couvert où l'on peut acheter des produits frais et artisanaux.,50.626686250000006,3.0492756435910224
Place du Théâtre,Une place pittoresque entourée de bâtiments historiques et de cafés.,50.63737515,3.0646942845120275
Fort de Mons-en-Barœul,"Un fort militaire construit au XIXe siècle, situé aux portes de Lille.",50.6448457,3.1201574
Fort de Mons-en-Barœul,"Un fort militaire construit au XIXe siècle, situé aux portes de Lille.",50.6448457,3.1201574
Rue de la Monnaie,"Une rue pittoresque du Vieux-Lille, remplie de boutiques et de restaurants.",50.6415135,3.0620055
Le Colysée de Lambersart,Centre culturel et d'expositions situé à proximité de Lille.,50.639143000000004,3.0353582425675674
Marché de Noël de Lille,"Un des plus beaux marchés de Noël en France, installé sur la Place Rihour.",49.440572,1.094045
Place du Lion d'Or,Une place historique du Vieux-Lille entourée de bâtiments flamands.,50.6401562,3.064697723257866
Jardin Vauban,"Un jardin public aménagé au XIXe siècle, idéal pour se promener ou pique-niquer.",50.63674725,3.0492714003077657
Piscine Olympique Marx Dormoy,Une piscine olympique moderne située dans le quartier de Lille Sud.,50.630216,3.118552
Église Sainte-Catherine,Une église gothique discrète située dans le Vieux-Lille.,50.6394475,3.057009739878054
Le Métropolitain,Une brasserie populaire située à la sortie de la station de métro Rihour.,48.109557,-1.680281
Le Nuage Café,"Un café moderne, proposant de nombreuses activités culturelles et artistiques.",45.76927,4.834244
Chapelle de la Réconciliation,Une petite chapelle située à côté de l'Université Catholique de Lille.,50.626065350000005,3.0377499506226506
Le Prato,Un théâtre lillois dédié au cirque contemporain et à l'art de la scène.,50.61923935,3.07107158621463
L'Usine de Roubaix,Un grand centre commercial d'usine proposant des articles à prix réduits.,50.6752557,3.1977700771512616
Le Grand Playground,"Un espace de vente et d'exposition au cœur de Lille, dédié à la mode et aux créateurs locaux.",50.635174,3.065871
La Gare de Lille-Europe,"Un des principaux hubs de transport ferroviaire en Europe, avec des connexions internationales.",50.63868,3.07594
La Gare de Lille-Flandres,Un bâtiment historique qui sert de gare principale pour les connexions nationales.,50.63607,3.07135
Place de la République,Une grande place centrale avec des bâtiments administratifs et des statues.,50.632178,3.0606792
Maison des étudiants catholiques,Un lieu historique où se retrouvent les étudiants de l’Université Catholique de Lille.,45.751678,4.819255
Parc Matisse,Un parc moderne situé à proximité de la Gare Lille-Europe.,50.6405711,3.072587032816054
Le Bistrot du Quai,"Un restaurant avec vue sur le Quai du Wault, célèbre pour sa cuisine traditionnelle.",48.859077,2.327998
Hôtel de Ville de Lille,Un bâtiment administratif d’architecture art déco avec un beffroi classé.,50.76511225,3.0061574463551164
Stade Pierre-Mauroy,Un stade ultra-moderne accueillant les matchs du LOSC et divers événements.,50.61190435,3.1305079515303946
Place Rihour,"Une place populaire entourée de cafés et de restaurants, où se trouve l'office du tourisme.",50.6358368,3.0628173
Les Moulins de Lille,Un quartier vivant et cosmopolite avec des bâtiments historiques industriels.,50.61843105,3.076301373821681
École Nationale Supérieure des Arts et Industries Textiles (ENSAIT),École d'ingénieurs spécialisée dans l'industrie textile.,50.6945221,3.168123085492458
Complexe UGC Ciné Cité Lille,Un grand cinéma moderne situé dans le quartier Euralille.,48.859077,2.327998
Lille Neige,Un événement hivernal proposant des activités sur neige au cœur de la ville.,50.7565864,3.0004555
L’Herbe Folle,"Un restaurant bio et écoresponsable, populaire pour ses plats locaux et de saison.",45.712664,4.631574
Hospice Gantois,Un ancien hospice transformé en hôtel de luxe et centre culturel.,50.621933,3.060429
Les 3 Brasseurs,Une brasserie artisanale renommée pour ses bières maison et son ambiance conviviale.,50.61339185,3.123113473746348
Quai de Wault,Un quai pittoresque bordé d’anciens bâtiments et de restaurants au bord de l’eau.,50.6372718,3.0538519
Esplanade du Champ de Mars,"Un grand espace ouvert à proximité de la Citadelle, idéal pour des événements et des festivals.",50.641908,3.0513359627211756
Rue de Béthune,"Une rue commerçante très fréquentée dans le centre de Lille, avec de nombreuses boutiques.",50.7255974,3.1331655
Les Poussins du Jardin Vauban,Des statues humoristiques en forme de poussins installées dans le Jardin Vauban.,50.623297,3.066542
Collégiale Saint-Pierre,Une ancienne église située près du centre historique de Lille.,50.6421482,3.0626011
Le Musée d'Art Sacré Moderne,"Un musée consacré à l'art religieux moderne, situé dans la Cathédrale de la Treille.",45.7842186,4.852469829690217
Le Flow - Centre Eurorégional des Cultures Urbaines,"Un centre dédié à la promotion des cultures urbaines, notamment la danse, le graffiti et le rap.",48.484725,7.006232
Palais Rameau,"Un bâtiment historique utilisé pour des événements, des expositions et des réceptions.",50.63429815,3.049949637926539
Le Grand Bleu,"Un théâtre jeune public et familial, dédié aux arts de la scène pour enfants et adolescents.",50.6357293,3.0337122
Grand Place,"Le cœur de Lille, aussi connue sous le nom de Place du Général-de-Gaulle, avec ses façades historiques.",50.7226852,3.1587757319930034
Le Nouveau Siècle,Un centre de congrès et salle de concert qui accueille l'Orchestre National de Lille.,48.897357,2.329117
Parc du Héron,"Un grand parc avec un lac et des sentiers de promenade situé à Villeneuve-d'Ascq, proche de Lille.",50.63431575,3.14839573989948
Parc Urbain d'EuraTechnologies,Un parc moderne situé autour du pôle technologique EuraTechnologies à Lille.,48.967386,2.288769
Le Prieuré de Loos,Un monastère médiéval en ruines situé dans le parc de la Citadelle.,42.85897,2.636116
Le Théâtre du Nord,"Un théâtre situé sur la Grand Place, proposant une programmation variée de spectacles vivants.",50.6804416,3.136982280319149
Le Palais de Justice,Un impressionnant bâtiment judiciaire de style moderne situé dans le centre-ville.,42.69442,9.446347
Université Lille 1,"Le campus scientifique de l'université de Lille, situé à Villeneuve-d'Ascq.",50.609226750000005,3.1408915010403784
Quartier Bois Blancs,"Un quartier en pleine expansion avec des projets urbains innovants, incluant EuraTechnologies.",50.6309445,3.0229743
Chapelle Saint-Joseph,Une petite chapelle située près de l’Université Catholique de Lille.,50.6214771,3.058832
Hôtel Bellevue,Un hôtel situé sur la Grand Place offrant une vue magnifique sur le centre historique.,50.6366673,3.0627234176966125
L’Aéronef,Une salle de concert renommée située dans le quartier d'Euralille.,50.6368129,3.0737383
Le Fresnoy - Studio national des arts contemporains,"Un centre d'art contemporain à Tourcoing, dédié aux arts numériques et audiovisuels.",50.700089250000005,3.1546985418382416
Le Conservatoire de Lille,Une école de musique et de danse historique située dans un ancien hôtel particulier.,50.64223,3.06228
Le Jardin des Géants,Un parc contemporain près d'Euralille avec des œuvres d'art et des espaces verts.,50.643055,3.075003
Villa Cavrois,"Un chef-d'œuvre moderniste conçu par l'architecte Robert Mallet-Stevens, situé à Croix, près de Lille.",50.666695849999996,3.1640135032540306
Institut d'Études Politiques de Lille (Sciences Po Lille),"Un institut d'enseignement supérieur réputé, formant à la politique et aux relations internationales.",45.747115550000004,4.835376800966607
Quartier Saint-Sauveur,"Un quartier réhabilité avec des espaces culturels, artistiques et des bars animés.",50.63233875,3.069602712537998
Le Palais Rihour,"Ancien palais des ducs de Bourgogne, abritant aujourd'hui l'office de tourisme.",50.634772350000006,3.0607701307147366
Le Musée des Canonniers,Un musée militaire présentant l'histoire des canonniers de Lille depuis le Moyen Âge.,50.6408753,3.0693702
Parc Naturel Urbain de Lomme,"Un grand parc en périphérie de Lille, idéal pour les randonnées et activités de plein air.",50.6559883,2.983670461876879
Le Musée de la Piscine,"Un musée d'art situé dans une ancienne piscine Art Déco à Roubaix, proche de Lille.",43.715754,-0.833769
Ferme pédagogique Marcel Dhénin,Une ferme au cœur de Lille proposant des activités éducatives pour les enfants.,50.63745595,3.0800493243065534
Marché de la Place du Concert,"Un marché traditionnel du Vieux-Lille, célèbre pour ses produits frais et locaux.",50.642714,3.061058
Le Faubourg des Modes,Un quartier créatif regroupant des designers et créateurs de mode dans des ateliers-boutiques.,45.908115,6.119193
Fives Cail,Une ancienne friche industrielle réhabilitée en centre d'innovation et d'activités culturelles.,50.6260312,3.0945462121997744
Atelier 2 - Centre d'art contemporain,"Un centre d'art contemporain à Villeneuve-d'Ascq, proposant des expositions et des ateliers.",49.445927,6.022819
Le Musée du Jouet,"Un petit musée situé à Wambrechies, proche de Lille, présentant une collection de jouets anciens.",48.928485,2.037969
Le Grand Sud,"Un espace événementiel et culturel dans le sud de Lille, accueillant concerts et spectacles.",50.6110532,3.054949756378342
Le Parc Jean-Baptiste Lebas,"Un espace vert urbain animé, avec des aires de jeux et des installations artistiques.",50.626279,3.068429
Chapelle des Carmes de Lille,Une chapelle historique située dans le quartier du Vieux-Lille.,50.645042,3.054054
Le Marché de la Place Sébastopol,Un marché local qui se tient régulièrement sur la place Sébastopol de Lille.,50.629048,3.057116
Le Café Citoyen,"Un café engagé avec une programmation culturelle et des débats, situé au cœur de Lille.",50.63277,3.063426
Le Musée Hospitalier Régional de Lille,Un musée consacré à l'histoire de la médecine et des hôpitaux de la région.,46.159575,4.171281
Le Fort de Seclin,"Un fort militaire datant de la fin du XIXe siècle, à proximité de Lille, ouvert aux visites.",50.556107,3.053733
Collège de Marcq-en-Barœul,"Un collège historique de la métropole lilloise, situé à Marcq-en-Barœul.",50.6840009,3.1053892
Le Parc des Dondaines,"Un parc urbain situé à proximité de la Gare Lille-Europe, idéal pour se détendre.",50.636006,3.084719
